"self_rating_before","recycling_freq","age","background","watch","self_rating_after"
7,"Usually","20-24","Yes",NA,NA
1,"Usually","30-34","No",NA,6
7,"Usually","20-24","No","Have watched",9
9,"Always","30-34","No","Have watched",9
3,"Usually","20-24","No","Have watched",3
9,"Usually","25-29","No","Have watched",9
9,"Always","30-34","No","Have watched",9
7,"Sometimes","20-24","Yes","Will pass",NA
1,"Rarely","25-29","No","Will pass",1
8,"Usually","20-24","No","Will pass",NA
7,"Usually","20-24","Yes","Have watched",8
9,"Usually","25-29","No","Will pass",9
9,"Usually","35-39","Yes","Will pass",NA
7,"Usually","20-24","No",NA,NA
7,"Always","25-29","Yes","Have watched",8
7,"Usually","25-29","Yes","Have watched",8
9,"Usually","35-39","Yes","Have watched",9
4,"Usually","25-29","No","Have watched",4
5,"Usually","25-29","Yes","Have watched",8
6,"Sometimes","25-29","No","Will pass",6
6,"Usually","30-34","No","Have watched",6
10,"Always","20-24","Yes","Have watched",10
8,"Always","30-34","No","Have watched",9
8,"Usually","30-34","Yes","Have watched",9
8,"Usually","40+","No","Have watched",10
10,"Always","25-29","Yes","Have watched",10
9,"Usually","20-24","Yes","Will pass",5
10,"Rarely","40+","No","Have watched",10
6,"Usually","25-29","No","Will pass",7
9,"Usually","20-24","No",NA,10
8,"Always","25-29","No","Will pass",NA
7,"Usually","25-29","No","Will pass",7
10,"Always","25-29","Yes","Will pass",10
7,"Always","20-24","No","Have watched",7
9,"Always","40+","No","Have watched",9
5,"Usually","25-29","Yes","Have watched",5
9,"Usually","30-34","No","Have watched",9
6,"Usually","25-29","No","Will pass",5
8,"Always","20-24","Yes","Have watched",9
9,"Always","30-34","No","Have watched",7
10,"Always","35-39","No","Have watched",10
8,"Always","25-29","Yes",NA,8
9,"Always","20-24","Yes","Have watched",9
10,"Always","20-24","Yes","Will pass",NA
8,"Always","20-24","Yes","Have watched",8
7,"Always","30-34","Yes","Have watched",7
6,"Usually","20-24","Yes","Will pass",NA
8,"Always","40+","No","Have watched",8
9,"Always","40+","No","Have watched",10
8,"Always","30-34","Yes","Have watched",8
8,"Usually","20-24","Yes","Have watched",9
9,"Always","25-29","Yes","Have watched",9
7,"Usually","20-24","No",NA,8
8,"Always","40+","No","Have watched",8
9,"Usually","30-34","Yes","Will pass",NA
10,"Always","40+","Yes",NA,10
10,"Always","40+","Yes","Have watched",10
10,"Always","40+","Yes","Have watched",10
10,"Always","20-24","No","Have watched",10
9,"Usually","40+","No","Have watched",9
10,"Always","25-29","No","Have watched",5
9,"Always","20-24","Yes","Have watched",9
9,"Always","40+","No","Have watched",10
10,"Always","40+","No","Have watched",10
9,"Always","40+","No","Have watched",9
10,"Always","40+","Yes","Have watched",8
7,"Usually","40+","No","Have watched",9
8,"Usually","25-29","No","Have watched",8
